,age,age_errm,age_errp,feh,feh_err,kepid,logg,logg_errm,logg_errp,period,period_err,teff,teff_err
0,1.9,0.5,0.6,-0.11,0.09,1430163.0,4.221,0.014,0.013,4.16,0.92,-0.11,0.09
1,3.7,0.8,1.7,-0.01,0.09,1435467.0,4.094,0.019,0.012,6.68,0.89,-0.01,0.09
2,6.2,1.2,1.8,-0.2,0.3,2450729.0,3.988,0.017,0.017,53.0,5.32,6093.0,152.0
3,2.0,0.4,0.3,-0.02,0.09,2837475.0,4.167,0.01,0.01,3.68,0.36,-0.02,0.09
4,3.0,0.7,0.7,-0.2,0.3,2852862.0,3.965,0.013,0.012,10.13,0.63,6572.0,172.0
5,4.5,0.8,2.0,-0.2,0.3,2865774.0,4.03,0.025,0.022,6.22,0.56,6187.0,153.0
6,3.2,1.3,2.1,-0.2,0.3,2998253.0,4.219,0.028,0.026,6.79,0.53,6538.0,167.0
7,3.9,0.8,1.1,-0.2,0.3,3112152.0,4.042,0.018,0.017,15.48,1.19,6591.0,169.0
8,1.9,1.0,1.7,-0.2,0.3,3123191.0,4.243,0.022,0.02,20.33,1.38,6524.0,171.0
9,3.3,2.2,2.8,-0.2,0.3,3223000.0,4.354,0.026,0.025,4.85,0.39,6292.0,178.0
10,1.9,0.9,0.5,-0.2,0.3,3236382.0,4.165,0.013,0.014,3.66,0.42,6847.0,197.0
11,10.5,5.5,4.5,-0.2,0.3,3241581.0,4.362,0.018,0.023,26.26,2.01,5779.0,134.0
12,2.6,0.7,1.0,-0.2,0.3,3344897.0,3.89,0.016,0.017,5.66,0.94,6650.0,167.0
13,4.0,0.6,0.6,0.01,0.09,3424541.0,3.797,0.015,0.016,3.46,0.33,0.01,0.09
14,3.1,0.8,0.9,-0.2,0.3,3430893.0,4.169,0.016,0.015,8.29,0.69,5003.0,0.0
15,4.1,0.6,0.5,-0.16,0.09,3632418.0,4.01,0.009,0.01,12.89,1.38,-0.16,0.09
16,4.9,1.0,1.1,-0.2,0.3,3633847.0,4.0,0.018,0.016,10.96,1.03,6298.0,143.0
17,2.2,1.0,1.1,-0.2,0.3,3633889.0,4.278,0.011,0.011,4.23,0.3,6619.0,151.0
18,3.4,0.9,1.6,-0.2,0.3,3642422.0,3.6,0.021,0.016,48.73,-8.19,5206.0,113.0
19,6.8,2.0,2.2,-0.2,0.3,3643774.0,4.108,0.016,0.017,14.4,1.56,6180.0,130.0
20,7.2,1.8,2.2,0.34,0.09,3656476.0,4.225,0.008,0.008,31.67,3.53,0.34,0.09
21,5.1,1.0,2.0,-0.2,0.3,3657002.0,4.153,0.015,0.012,16.02,1.54,6094.0,148.0
22,6.8,0.7,1.2,-0.2,0.3,3661135.0,3.926,0.012,0.011,28.39,4.83,5656.0,126.0
23,0.8,0.4,0.4,-0.04,0.09,3733735.0,4.277,0.014,0.014,2.56,0.19,-0.04,0.09
24,3.0,2.3,3.0,-0.2,0.3,3735871.0,4.388,0.022,0.021,11.53,1.24,6305.0,147.0
25,3.2,0.7,0.8,-0.2,0.3,3761840.0,3.709,0.024,0.024,3.92,0.29,6673.0,176.0
26,5.5,0.8,1.9,-0.2,0.3,3942719.0,3.835,0.019,0.019,37.97,5.05,5785.0,136.0
27,3.2,1.2,0.7,-0.2,0.3,3952580.0,3.743,0.017,0.022,89.75,7.62,6593.0,166.0
28,1.5,0.5,0.9,-0.2,0.3,3967430.0,4.236,0.014,0.014,2.25,0.17,6903.0,176.0
29,5.0,1.4,0.9,-0.2,0.3,4049576.0,3.911,0.021,0.025,20.91,3.0,6117.0,150.0
30,3.8,0.8,0.6,-0.2,0.3,4346201.0,3.97,0.015,0.014,20.31,2.39,6337.0,164.0
31,7.2,2.0,4.0,-0.2,0.3,4465324.0,4.185,0.015,0.014,45.97,3.59,6040.0,150.0
32,3.7,1.0,1.4,-0.2,0.3,4465529.0,4.112,0.024,0.022,6.55,0.68,6575.0,191.0
33,3.8,0.8,0.9,-0.2,0.3,4543171.0,4.111,0.016,0.016,14.09,2.08,6325.0,157.0
34,12.4,2.9,3.1,-0.2,0.3,4554830.0,4.167,0.01,0.01,7.61,0.53,5538.0,143.0
35,7.7,3.0,2.3,-0.2,0.3,4571351.0,4.127,0.023,0.027,15.12,1.39,6065.0,135.0
36,3.3,0.5,0.5,-0.03,0.09,4638884.0,4.03,0.012,0.011,6.46,0.85,-0.03,0.09
37,2.8,0.9,0.6,-0.2,0.3,4646780.0,4.029,0.019,0.019,4.25,1.14,6807.0,158.0
38,4.6,0.8,1.2,-0.2,0.3,4755204.0,4.086,0.013,0.011,22.88,4.04,6132.0,152.0
39,3.6,0.8,0.8,-0.2,0.3,4756112.0,3.738,0.018,0.021,5.43,0.46,6608.0,172.0
40,11.1,3.2,3.5,-0.2,0.3,4842436.0,4.062,0.024,0.024,27.43,3.7,6050.0,147.0
41,4.9,1.1,1.2,0.17,0.09,4914923.0,4.212,0.007,0.007,20.49,2.82,0.17,0.09
42,1.0,0.6,0.8,-0.2,0.3,4931390.0,4.274,0.012,0.012,7.45,0.5,6539.0,168.0
43,7.8,2.3,4.6,-0.2,0.3,5084157.0,4.191,0.02,0.018,22.25,2.85,6054.0,137.0
44,5.0,1.2,1.4,-0.2,0.3,5095159.0,3.683,0.019,0.017,94.15,11.07,5179.0,156.0
45,3.3,1.4,0.7,-0.2,0.3,5095850.0,3.885,0.021,0.018,4.38,0.48,6962.0,180.0
46,4.8,1.2,1.3,0.38,0.09,5184732.0,4.258,0.007,0.007,19.79,2.43,0.38,0.09
47,7.9,3.4,8.0,-0.2,0.3,5265656.0,3.664,0.074,0.065,73.36,8.95,5205.0,107.0
48,3.1,0.6,1.0,-0.2,0.3,5309966.0,4.131,0.015,0.014,10.97,0.92,6649.0,151.0
49,3.5,0.7,1.4,-0.2,0.3,5344612.0,4.062,0.018,0.016,14.59,1.54,6572.0,157.0
50,3.2,0.6,1.5,-0.2,0.3,5353186.0,3.89,0.018,0.014,12.99,1.18,6447.0,165.0
51,2.8,0.5,0.5,0.17,0.09,5371516.0,3.983,0.01,0.009,5.23,0.48,0.17,0.09
52,3.4,1.2,0.8,-0.2,0.3,5431016.0,3.896,0.023,0.027,16.54,5.53,6941.0,181.0
53,3.8,1.1,1.1,-0.2,0.3,5431807.0,3.576,0.011,0.01,27.4,2.14,5378.0,113.0
54,3.9,0.6,0.6,0.05,0.09,5450445.0,3.985,0.009,0.009,12.9,1.18,0.05,0.09
55,2.1,0.7,1.0,-0.2,0.3,5468089.0,4.03,0.025,0.018,11.23,1.08,6504.0,175.0
56,3.0,1.0,1.3,-0.2,0.3,5516982.0,4.191,0.015,0.013,23.6,2.06,6481.0,163.0
57,5.1,0.8,0.9,-0.2,0.3,5523099.0,3.782,0.015,0.015,63.86,9.6,5531.0,128.0
58,3.5,0.7,0.8,-0.2,0.3,5530375.0,3.702,0.014,0.014,21.61,2.1,6106.0,134.0
59,4.0,1.6,2.4,-0.2,0.3,5543462.0,4.221,0.022,0.02,22.32,1.73,6347.0,181.0
60,5.5,0.9,1.3,-0.2,0.3,5686856.0,3.996,0.012,0.012,17.75,2.15,6087.0,130.0
61,3.0,0.7,0.7,-0.2,0.3,5689219.0,4.067,0.013,0.013,0.98,0.07,6654.0,166.0
62,3.7,0.7,1.3,-0.2,0.3,5773155.0,4.032,0.018,0.018,7.51,0.9,6527.0,163.0
63,3.5,0.6,0.6,0.21,0.09,5773345.0,3.994,0.008,0.008,11.57,1.02,0.21,0.09
64,1.9,1.6,1.9,0.07,0.09,5774694.0,4.463,0.019,0.017,12.1,1.03,0.07,0.09
65,2.0,0.6,0.7,-0.2,0.3,5822889.0,3.412,0.016,0.015,88.46,16.22,5382.0,124.0
66,5.4,0.4,0.6,-0.17,0.09,5955122.0,3.872,0.009,0.009,19.13,2.41,-0.17,0.09
67,2.4,0.5,0.8,-0.2,0.3,5961597.0,4.039,0.014,0.014,2.88,0.44,6665.0,168.0
